"StichtagDatJahr","DatenstandCd","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"D","Archie",2012,"1","männlich",1,1
2015,"D","Arco",2000,"1","männlich",1,1
2015,"D","Arco",2004,"1","männlich",1,1
2015,"D","Arco",2005,"1","männlich",1,1
2015,"D","Arco",2007,"1","männlich",1,1
2015,"D","Ardeshir",2011,"1","männlich",1,1
2015,"D","Ares",2004,"1","männlich",1,1
2015,"D","Ares",2007,"1","männlich",1,1
2015,"D","Ares",2011,"1","männlich",1,1
2015,"D","Areta",2000,"2","weiblich",2,1
2015,"D","Areta",2004,"2","weiblich",2,1
2015,"D","Arezu",2007,"1","männlich",1,1
2015,"D","Argo",2005,"1","männlich",1,1
2015,"D","Argo",2007,"1","männlich",1,1
2015,"D","Argo",2013,"1","männlich",1,1
2015,"D","Argo vom Buechlisberg",2012,"1","männlich",1,1
2015,"D","Argos",2001,"1","männlich",1,1
2015,"D","Argos",2003,"1","männlich",1,1
2015,"D","Arguitos",2014,"1","männlich",1,1
2015,"D","Argus",2002,"1","männlich",1,1
2015,"D","Ari",2006,"2","weiblich",2,1
2015,"D","Ari",2010,"1","männlich",1,1
2015,"D","Ari",2013,"1","männlich",1,1
2015,"D","Ari",2014,"1","männlich",1,1
2015,"D","Ariel",2003,"1","männlich",1,1
2015,"D","Ariela Kimbabu",2005,"2","weiblich",2,1
2015,"D","Arina Luna",2004,"1","männlich",1,1
2015,"D","Aristo",2010,"1","männlich",1,1
2015,"D","Arka",2006,"2","weiblich",2,1
2015,"D","Arkan",2015,"1","männlich",1,1
2015,"D","Arkas",2011,"1","männlich",1,1
2015,"D","Arla",2013,"2","weiblich",2,1
2015,"D","Arlo",2008,"1","männlich",1,1
2015,"D","Armani",2005,"2","weiblich",2,1
2015,"D","Armani",2013,"1","männlich",1,1
2015,"D","Armani",2014,"1","männlich",1,1
2015,"D","Arni",2012,"1","männlich",1,1
2015,"D","Aro (Tomba v. Försterhaus)",2015,"1","männlich",1,1
2015,"D","Aron",2005,"1","männlich",1,1
2015,"D","Aron",2012,"1","männlich",1,1
2015,"D","Aron Dehiani",2013,"1","männlich",1,1
2015,"D","Arrow",2002,"1","männlich",1,2
2015,"D","Arrow",2012,"1","männlich",1,1
2015,"D","Artair",2013,"1","männlich",1,1
2015,"D","Artemis",2010,"2","weiblich",2,1
2015,"D","Arthur",2005,"1","männlich",1,1
2015,"D","Arthur",2009,"1","männlich",1,1
2015,"D","Arthus",2007,"1","männlich",1,1
2015,"D","Arthus",2009,"1","männlich",1,1
2015,"D","Arton",2008,"1","männlich",1,1
2015,"D","Artos",2002,"1","männlich",1,1
2015,"D","Artu",2012,"1","männlich",1,1
2015,"D","Artur Mano",1999,"1","männlich",1,1
2015,"D","Arturo",2013,"1","männlich",1,1
2015,"D","Artus",2004,"1","männlich",1,1
2015,"D","Artus",2005,"1","männlich",1,1
2015,"D","Artus",2008,"1","männlich",1,1
2015,"D","Arwen",2002,"2","weiblich",2,1
2015,"D","Arwen",2008,"1","männlich",1,1
2015,"D","Arya",2014,"2","weiblich",2,2
2015,"D","Asco",2010,"1","männlich",1,1
2015,"D","Asco (Aristorrat)",2008,"1","männlich",1,1
2015,"D","Ashanti",2006,"2","weiblich",2,1
2015,"D","Ashbury Happy Sunshine",2012,"2","weiblich",2,1
2015,"D","Asia",2002,"2","weiblich",2,1
2015,"D","Asia",2005,"2","weiblich",2,1
2015,"D","Aska",2010,"2","weiblich",2,1
2015,"D","Aska",2013,"2","weiblich",2,1
2015,"D","Askari",2005,"1","männlich",1,1
2015,"D","Asla",2010,"2","weiblich",2,1
2015,"D","Aslan",2014,"1","männlich",1,1
2015,"D","Asta",2002,"2","weiblich",2,1
2015,"D","Asta",2004,"2","weiblich",2,1
2015,"D","Asta",2005,"2","weiblich",2,1
2015,"D","Asta",2007,"2","weiblich",2,1
2015,"D","Asta",2008,"2","weiblich",2,1
2015,"D","Asthon",2012,"1","männlich",1,1
2015,"D","Asti",2002,"1","männlich",1,1
2015,"D","Aston Henry",2012,"1","männlich",1,1
2015,"D","Athao",2006,"1","männlich",1,1
2015,"D","Athos",2011,"1","männlich",1,1
2015,"D","Athos",2014,"1","männlich",1,1
2015,"D","Athos",9999,"1","männlich",1,1
2015,"D","Athos Chips",2008,"1","männlich",1,1
2015,"D","Atila",1997,"1","männlich",1,1
2015,"D","Atila",2011,"2","weiblich",2,1
2015,"D","Atos",2011,"1","männlich",1,1
2015,"D","Atreju (Anpaytoo)",2008,"1","männlich",1,1
2015,"D","Attila",2011,"1","männlich",1,1
2015,"D","Audrey",2008,"2","weiblich",2,1
2015,"D","Aura (Juice)",2008,"2","weiblich",2,1
2015,"D","Aurelie",2011,"2","weiblich",2,1
2015,"D","Auron",2011,"1","männlich",1,1
2015,"D","Aurora vom Wyhental",2013,"2","weiblich",2,1
2015,"D","Ava (Usambara)",2009,"2","weiblich",2,1
2015,"D","Avalon",2006,"1","männlich",1,1
2015,"D","Avalon-Joya",2014,"2","weiblich",2,1
2015,"D","Avani",2012,"2","weiblich",2,1
2015,"D","Avery",2013,"1","männlich",1,1
2015,"D","Avon vom Kunstgarten",2012,"1","männlich",1,1
2015,"D","Awitto",2001,"1","männlich",1,1
2015,"D","Axel",2006,"1","männlich",1,1
2015,"D","Axel von Burg Schwärtzenberg",2011,"1","männlich",1,1
2015,"D","Ayana",2012,"2","weiblich",2,1
2015,"D","Ayana",2014,"2","weiblich",2,1
2015,"D","Ayca",2007,"2","weiblich",2,1
2015,"D","Ayco",2011,"1","männlich",1,1
2015,"D","Ayk",2004,"1","männlich",1,1
2015,"D","Ayk",2010,"1","männlich",1,1
2015,"D","Ayko",2013,"1","männlich",1,1
2015,"D","Ayla",2007,"2","weiblich",2,1
2015,"D","Ayla",2010,"2","weiblich",2,1
2015,"D","Ayla",2011,"2","weiblich",2,1
2015,"D","Ayla",2015,"2","weiblich",2,1
2015,"D","Aylin",2009,"2","weiblich",2,1
2015,"D","Ayse",2007,"2","weiblich",2,1
2015,"D","Aysha",2006,"2","weiblich",2,2
2015,"D","Aysha",2008,"2","weiblich",2,1
2015,"D","Aysha (Alya)",2008,"2","weiblich",2,1
2015,"D","Ayumi",2012,"2","weiblich",2,1
2015,"D","Ayusha vom Maieriesli",2013,"2","weiblich",2,1
2015,"D","Azan (Viserion Aglow)",2015,"1","männlich",1,1
2015,"D","Azim",2009,"1","männlich",1,1
2015,"D","Azira vom Mühlibach",2009,"2","weiblich",2,1
2015,"D","Azizza",2005,"2","weiblich",2,1
2015,"D","Azzurra",2012,"2","weiblich",2,1
2015,"D","Azzurro",2009,"1","männlich",1,1
2015,"D","Azzy",2012,"2","weiblich",2,1
2015,"D","B'sai",2005,"2","weiblich",2,1
2015,"D","B-Nibiru",2013,"2","weiblich",2,1
2015,"D","Baballu",2014,"2","weiblich",2,1
2015,"D","Babar",2007,"1","männlich",1,1
2015,"D","Babe",2009,"2","weiblich",2,1
2015,"D","Babel",2006,"2","weiblich",2,1
2015,"D","Babett",2011,"2","weiblich",2,1
2015,"D","Babette",2011,"2","weiblich",2,1
2015,"D","Babou",2013,"2","weiblich",2,1
2015,"D","Babouche",2002,"2","weiblich",2,1
2015,"D","Babu",2012,"1","männlich",1,1
2015,"D","Babu (Udo von Tannenthalbad)",2007,"1","männlich",1,1
2015,"D","Baby",2012,"2","weiblich",2,2
2015,"D","Baccio",2014,"1","männlich",1,1
2015,"D","Bachata",2006,"2","weiblich",2,1
2015,"D","Bacon",2013,"1","männlich",1,1
2015,"D","Badjo",2004,"1","männlich",1,1
2015,"D","Bado",2011,"1","männlich",1,1
2015,"D","Bady",2004,"1","männlich",1,1
2015,"D","Bady",2015,"1","männlich",1,1
2015,"D","Bafi vom  Füllern",2009,"2","weiblich",2,1
2015,"D","Bagdo",2004,"1","männlich",1,1
2015,"D","Baiba",2000,"2","weiblich",2,1
2015,"D","Baija",2011,"2","weiblich",2,1
2015,"D","Baika (Bossa)",2006,"2","weiblich",2,1
2015,"D","Baika fidelis anima",2015,"2","weiblich",2,1
2015,"D","Baila",2004,"2","weiblich",2,1
2015,"D","Baila",2012,"2","weiblich",2,1
2015,"D","Baila",2013,"2","weiblich",2,1
2015,"D","Bailey",2008,"1","männlich",1,1
2015,"D","Bailey",2013,"2","weiblich",2,1
2015,"D","Baileys",2008,"1","männlich",1,1
2015,"D","Baileys",2011,"1","männlich",1,1
2015,"D","Baileys",2013,"2","weiblich",2,1
2015,"D","Baileys",2015,"1","männlich",1,1
2015,"D","Baileys Bambi",2011,"2","weiblich",2,1
2015,"D","Baily",2006,"1","männlich",1,1
2015,"D","Bailys",2011,"1","männlich",1,1
2015,"D","Baja",2004,"2","weiblich",2,1
2015,"D","Bajko v. Auendorf",2012,"1","männlich",1,1
2015,"D","Bajo (Hary)",2008,"1","männlich",1,1
2015,"D","Baju (Steve)",2011,"1","männlich",1,1
2015,"D","Bakari",2008,"1","männlich",1,1
2015,"D","Bakari Taste",2014,"2","weiblich",2,1
2015,"D","Bako",2009,"1","männlich",1,1
2015,"D","Baksik",2010,"1","männlich",1,1
2015,"D","Baku",2010,"1","männlich",1,1
2015,"D","Bala",2002,"2","weiblich",2,1
